x,y,nx,ny,h,bnd_ident
1.0,-0.66875,1.0,0.0,0.025,1
1.0,-0.65625,1.0,0.0,0.025,1
-1.0,0.33125,-1.0,0.0,0.025,1
1.0,-0.64375,1.0,0.0,0.025,1
1.0,-0.63125,1.0,0.0,0.025,1
1.0,-0.61875,1.0,0.0,0.025,1
-1.0,0.31875,-1.0,0.0,0.025,1
1.0,-0.60625,1.0,0.0,0.025,1
1.0,-0.59375,1.0,0.0,0.025,1
-1.0,0.30625,-1.0,0.0,0.025,1
1.0,-0.58125,1.0,0.0,0.025,1
1.0,-0.56875,1.0,0.0,0.025,1
1.0,-0.55625,1.0,0.0,0.025,1
-1.0,-0.73125,-1.0,0.0,0.025,1
1.0,-0.54375,1.0,0.0,0.025,1
1.0,-0.53125,1.0,0.0,0.025,1
-1.0,0.29375,-1.0,0.0,0.025,1
1.0,-0.51875,1.0,0.0,0.025,1
1.0,-0.50625,1.0,0.0,0.025,1
1.0,-0.49375,1.0,0.0,0.025,1
-1.0,0.28125,-1.0,0.0,0.025,1
1.0,-0.48125,1.0,0.0,0.025,1
1.0,-0.46875,1.0,0.0,0.025,1
-1.0,-0.74375,-1.0,0.0,0.025,1
1.0,-0.45625,1.0,0.0,0.025,1
1.0,-0.44375,1.0,0.0,0.025,1
1.0,-0.43125,1.0,0.0,0.025,1
-1.0,0.26875,-1.0,0.0,0.025,1
1.0,-0.41875,1.0,0.0,0.025,1
1.0,-0.40625,1.0,0.0,0.025,1
-1.0,0.25625,-1.0,0.0,0.025,1
1.0,-0.39375,1.0,0.0,0.025,1
1.0,-0.38125,1.0,0.0,0.025,1
1.0,-0.36875,1.0,0.0,0.025,1
-1.0,0.24375,-1.0,0.0,0.025,1
1.0,-0.35625,1.0,0.0,0.025,1
1.0,-0.34375,1.0,0.0,0.025,1
-1.0,-0.75625,-1.0,0.0,0.025,1
1.0,-0.33125,1.0,0.0,0.025,1
1.0,-0.31875,1.0,0.0,0.025,1
1.0,-0.30625,1.0,0.0,0.025,1
-1.0,0.23125,-1.0,0.0,0.025,1
1.0,-0.29375,1.0,0.0,0.025,1
1.0,-0.28125,1.0,0.0,0.025,1
-1.0,0.21875,-1.0,0.0,0.025,1
1.0,-0.26875,1.0,0.0,0.025,1
1.0,-0.25625,1.0,0.0,0.025,1
1.0,-0.24375,1.0,0.0,0.025,1
-1.0,-0.76875,-1.0,0.0,0.025,1
1.0,-0.23125,1.0,0.0,0.025,1
1.0,-0.21875,1.0,0.0,0.025,1
-1.0,0.20625,-1.0,0.0,0.025,1
1.0,-0.20625,1.0,0.0,0.025,1
1.0,-0.19375,1.0,0.0,0.025,1
1.0,-0.18125,1.0,0.0,0.025,1
-1.0,0.19375,-1.0,0.0,0.025,1
1.0,-0.16875,1.0,0.0,0.025,1
1.0,-0.15625,1.0,0.0,0.025,1
-1.0,0.18125,-1.0,0.0,0.025,1
1.0,-0.14375,1.0,0.0,0.025,1
1.0,-0.13125,1.0,0.0,0.025,1
1.0,-0.11875,1.0,0.0,0.025,1
-1.0,-0.99375,-1.0,0.0,0.025,1
1.0,-0.10625,1.0,0.0,0.025,1
1.0,-0.09375,1.0,0.0,0.025,1
-1.0,0.16875,-1.0,0.0,0.025,1
1.0,-0.08125,1.0,0.0,0.025,1
1.0,-0.06875,1.0,0.0,0.025,1
1.0,-0.05625,1.0,0.0,0.025,1
-1.0,0.15625,-1.0,0.0,0.025,1
1.0,-0.04375,1.0,0.0,0.025,1
1.0,-0.03125,1.0,0.0,0.025,1
-1.0,-0.78125,-1.0,0.0,0.025,1
1.0,-0.01875,1.0,0.0,0.025,1
1.0,-0.00625,1.0,0.0,0.025,1
1.0,0.00625,1.0,0.0,0.025,1
1.0,0.01875,1.0,0.0,0.025,1
-1.0,0.14375,-1.0,0.0,0.025,1
1.0,0.03125,1.0,0.0,0.025,1
1.0,0.04375,1.0,0.0,0.025,1
1.0,0.05625,1.0,0.0,0.025,1
1.0,0.06875,1.0,0.0,0.025,1
1.0,0.08125,1.0,0.0,0.025,1
-1.0,0.13125,-1.0,0.0,0.025,1
1.0,0.09375,1.0,0.0,0.025,1
1.0,0.10625,1.0,0.0,0.025,1
1.0,0.11875,1.0,0.0,0.025,1
1.0,0.13125,1.0,0.0,0.025,1
1.0,0.14375,1.0,0.0,0.025,1
-1.0,0.11875,-1.0,0.0,0.025,1
1.0,0.15625,1.0,0.0,0.025,1
1.0,0.16875,1.0,0.0,0.025,1
1.0,0.18125,1.0,0.0,0.025,1
1.0,0.19375,1.0,0.0,0.025,1
1.0,0.20625,1.0,0.0,0.025,1
-1.0,-0.79375,-1.0,0.0,0.025,1
1.0,0.21875,1.0,0.0,0.025,1
1.0,0.23125,1.0,0.0,0.025,1
1.0,0.24375,1.0,0.0,0.025,1
1.0,0.25625,1.0,0.0,0.025,1
1.0,0.26875,1.0,0.0,0.025,1
-1.0,0.10625,-1.0,0.0,0.025,1
1.0,0.28125,1.0,0.0,0.025,1
1.0,0.29375,1.0,0.0,0.025,1
1.0,0.30625,1.0,0.0,0.025,1
1.0,0.31875,1.0,0.0,0.025,1
1.0,0.33125,1.0,0.0,0.025,1
-1.0,0.09375,-1.0,0.0,0.025,1
1.0,0.34375,1.0,0.0,0.025,1
1.0,0.35625,1.0,0.0,0.025,1
1.0,0.36875,1.0,0.0,0.025,1
1.0,0.38125,1.0,0.0,0.025,1
1.0,0.39375,1.0,0.0,0.025,1
-1.0,-0.80625,-1.0,0.0,0.025,1
1.0,0.40625,1.0,0.0,0.025,1
1.0,0.41875,1.0,0.0,0.025,1
1.0,0.43125,1.0,0.0,0.025,1
1.0,0.44375,1.0,0.0,0.025,1
1.0,0.45625,1.0,0.0,0.025,1
-1.0,0.08125,-1.0,0.0,0.025,1
1.0,0.46875,1.0,0.0,0.025,1
1.0,0.48125,1.0,0.0,0.025,1
1.0,0.49375,1.0,0.0,0.025,1
1.0,0.50625,1.0,0.0,0.025,1
1.0,0.51875,1.0,0.0,0.025,1
-1.0,0.06875,-1.0,0.0,0.025,1
1.0,0.53125,1.0,0.0,0.025,1
1.0,0.54375,1.0,0.0,0.025,1
1.0,0.55625,1.0,0.0,0.025,1
1.0,0.56875,1.0,0.0,0.025,1
1.0,0.58125,1.0,0.0,0.025,1
-1.0,0.05625,-1.0,0.0,0.025,1
1.0,0.59375,1.0,0.0,0.025,1
1.0,0.60625,1.0,0.0,0.025,1
1.0,0.61875,1.0,0.0,0.025,1
1.0,0.63125,1.0,0.0,0.025,1
1.0,0.64375,1.0,0.0,0.025,1
-1.0,-0.81875,-1.0,0.0,0.025,1
1.0,0.65625,1.0,0.0,0.025,1
1.0,0.66875,1.0,0.0,0.025,1
1.0,0.68125,1.0,0.0,0.025,1
1.0,0.69375,1.0,0.0,0.025,1
1.0,0.70625,1.0,0.0,0.025,1
-1.0,0.04375,-1.0,0.0,0.025,1
1.0,0.71875,1.0,0.0,0.025,1
1.0,0.73125,1.0,0.0,0.025,1
1.0,0.74375,1.0,0.0,0.025,1
1.0,0.75625,1.0,0.0,0.025,1
1.0,0.76875,1.0,0.0,0.025,1
-1.0,0.03125,-1.0,0.0,0.025,1
1.0,0.78125,1.0,0.0,0.025,1
1.0,0.79375,1.0,0.0,0.025,1
1.0,0.80625,1.0,0.0,0.025,1
1.0,0.81875,1.0,0.0,0.025,1
1.0,0.83125,1.0,0.0,0.025,1
-1.0,-0.83125,-1.0,0.0,0.025,1
1.0,0.84375,1.0,0.0,0.025,1
1.0,0.85625,1.0,0.0,0.025,1
1.0,0.86875,1.0,0.0,0.025,1
1.0,0.88125,1.0,0.0,0.025,1
1.0,0.89375,1.0,0.0,0.025,1
-1.0,0.01875,-1.0,0.0,0.025,1
1.0,0.90625,1.0,0.0,0.025,1
1.0,0.91875,1.0,0.0,0.025,1
1.0,0.93125,1.0,0.0,0.025,1
1.0,0.94375,1.0,0.0,0.025,1
1.0,0.95625,1.0,0.0,0.025,1
-1.0,0.00625,-1.0,0.0,0.025,1
1.0,0.96875,1.0,0.0,0.025,1
1.0,0.98125,1.0,0.0,0.025,1
1.0,0.99375,1.0,0.0,0.025,1
0.99375,1.0,0.0,1.0,0.025,1
-1.0,-0.00625,-1.0,0.0,0.025,1
0.98125,1.0,0.0,1.0,0.025,1
0.96875,1.0,0.0,1.0,0.025,1
-1.0,-0.01875,-1.0,0.0,0.025,1
0.95625,1.0,0.0,1.0,0.025,1
0.94375,1.0,0.0,1.0,0.025,1
0.93125,1.0,0.0,1.0,0.025,1
-1.0,-0.96875,-1.0,0.0,0.025,1
0.91875,1.0,0.0,1.0,0.025,1
0.90625,1.0,0.0,1.0,0.025,1
-1.0,-0.03125,-1.0,0.0,0.025,1
0.89375,1.0,0.0,1.0,0.025,1
0.88125,1.0,0.0,1.0,0.025,1
0.86875,1.0,0.0,1.0,0.025,1
-1.0,-0.04375,-1.0,0.0,0.025,1
0.85625,1.0,0.0,1.0,0.025,1
0.84375,1.0,0.0,1.0,0.025,1
-1.0,-0.05625,-1.0,0.0,0.025,1
0.83125,1.0,0.0,1.0,0.025,1
0.81875,1.0,0.0,1.0,0.025,1
0.80625,1.0,0.0,1.0,0.025,1
-1.0,-0.06875,-1.0,0.0,0.025,1
0.79375,1.0,0.0,1.0,0.025,1
0.78125,1.0,0.0,1.0,0.025,1
-1.0,-0.08125,-1.0,0.0,0.025,1
0.76875,1.0,0.0,1.0,0.025,1
0.75625,1.0,0.0,1.0,0.025,1
0.74375,1.0,0.0,1.0,0.025,1
-1.0,-0.84375,-1.0,0.0,0.025,1
0.73125,1.0,0.0,1.0,0.025,1
0.71875,1.0,0.0,1.0,0.025,1
-1.0,-0.09375,-1.0,0.0,0.025,1
0.70625,1.0,0.0,1.0,0.025,1
0.69375,1.0,0.0,1.0,0.025,1
0.68125,1.0,0.0,1.0,0.025,1
-1.0,-0.10625,-1.0,0.0,0.025,1
0.66875,1.0,0.0,1.0,0.025,1
0.65625,1.0,0.0,1.0,0.025,1
-1.0,-0.11875,-1.0,0.0,0.025,1
0.64375,1.0,0.0,1.0,0.025,1
0.63125,1.0,0.0,1.0,0.025,1
0.61875,1.0,0.0,1.0,0.025,1
-1.0,-0.13125,-1.0,0.0,0.025,1
0.60625,1.0,0.0,1.0,0.025,1
0.59375,1.0,0.0,1.0,0.025,1
-1.0,-0.14375,-1.0,0.0,0.025,1
0.58125,1.0,0.0,1.0,0.025,1
0.56875,1.0,0.0,1.0,0.025,1
0.55625,1.0,0.0,1.0,0.025,1
-1.0,-0.85625,-1.0,0.0,0.025,1
0.54375,1.0,0.0,1.0,0.025,1
0.53125,1.0,0.0,1.0,0.025,1
-1.0,-0.15625,-1.0,0.0,0.025,1
0.51875,1.0,0.0,1.0,0.025,1
0.50625,1.0,0.0,1.0,0.025,1
0.49375,1.0,0.0,1.0,0.025,1
-1.0,-0.16875,-1.0,0.0,0.025,1
0.48125,1.0,0.0,1.0,0.025,1
0.46875,1.0,0.0,1.0,0.025,1
-1.0,-0.18125,-1.0,0.0,0.025,1
0.45625,1.0,0.0,1.0,0.025,1
0.44375,1.0,0.0,1.0,0.025,1
0.43125,1.0,0.0,1.0,0.025,1
-1.0,-0.19375,-1.0,0.0,0.025,1
0.41875,1.0,0.0,1.0,0.025,1
0.40625,1.0,0.0,1.0,0.025,1
-1.0,-0.20625,-1.0,0.0,0.025,1
0.39375,1.0,0.0,1.0,0.025,1
0.38125,1.0,0.0,1.0,0.025,1
0.36875,1.0,0.0,1.0,0.025,1
-1.0,-0.86875,-1.0,0.0,0.025,1
0.35625,1.0,0.0,1.0,0.025,1
0.34375,1.0,0.0,1.0,0.025,1
-1.0,-0.21875,-1.0,0.0,0.025,1
0.33125,1.0,0.0,1.0,0.025,1
0.31875,1.0,0.0,1.0,0.025,1
0.30625,1.0,0.0,1.0,0.025,1
-1.0,-0.23125,-1.0,0.0,0.025,1
0.29375,1.0,0.0,1.0,0.025,1
0.28125,1.0,0.0,1.0,0.025,1
-1.0,-0.24375,-1.0,0.0,0.025,1
0.26875,1.0,0.0,1.0,0.025,1
0.25625,1.0,0.0,1.0,0.025,1
0.24375,1.0,0.0,1.0,0.025,1
-1.0,-0.25625,-1.0,0.0,0.025,1
0.23125,1.0,0.0,1.0,0.025,1
0.21875,1.0,0.0,1.0,0.025,1
-1.0,-0.26875,-1.0,0.0,0.025,1
0.20625,1.0,0.0,1.0,0.025,1
0.19375,1.0,0.0,1.0,0.025,1
0.18125,1.0,0.0,1.0,0.025,1
-1.0,-0.88125,-1.0,0.0,0.025,1
0.16875,1.0,0.0,1.0,0.025,1
0.15625,1.0,0.0,1.0,0.025,1
-1.0,-0.28125,-1.0,0.0,0.025,1
0.14375,1.0,0.0,1.0,0.025,1
0.13125,1.0,0.0,1.0,0.025,1
0.11875,1.0,0.0,1.0,0.025,1
-1.0,-0.29375,-1.0,0.0,0.025,1
0.10625,1.0,0.0,1.0,0.025,1
0.09375,1.0,0.0,1.0,0.025,1
-1.0,-0.30625,-1.0,0.0,0.025,1
0.08125,1.0,0.0,1.0,0.025,1
0.06875,1.0,0.0,1.0,0.025,1
0.05625,1.0,0.0,1.0,0.025,1
-1.0,-0.31875,-1.0,0.0,0.025,1
0.04375,1.0,0.0,1.0,0.025,1
0.03125,1.0,0.0,1.0,0.025,1
-1.0,-0.33125,-1.0,0.0,0.025,1
0.01875,1.0,0.0,1.0,0.025,1
0.00625,1.0,0.0,1.0,0.025,1
-0.00625,1.0,0.0,1.0,0.025,1
-0.01875,1.0,0.0,1.0,0.025,1
-1.0,-0.89375,-1.0,0.0,0.025,1
-0.03125,1.0,0.0,1.0,0.025,1
-0.04375,1.0,0.0,1.0,0.025,1
-0.05625,1.0,0.0,1.0,0.025,1
-0.06875,1.0,0.0,1.0,0.025,1
-0.08125,1.0,0.0,1.0,0.025,1
-1.0,-0.34375,-1.0,0.0,0.025,1
-0.09375,1.0,0.0,1.0,0.025,1
-0.10625,1.0,0.0,1.0,0.025,1
-0.11875,1.0,0.0,1.0,0.025,1
-0.13125,1.0,0.0,1.0,0.025,1
-0.14375,1.0,0.0,1.0,0.025,1
-1.0,-0.35625,-1.0,0.0,0.025,1
-0.15625,1.0,0.0,1.0,0.025,1
-0.16875,1.0,0.0,1.0,0.025,1
-0.18125,1.0,0.0,1.0,0.025,1
-0.19375,1.0,0.0,1.0,0.025,1
-0.20625,1.0,0.0,1.0,0.025,1
-1.0,-0.36875,-1.0,0.0,0.025,1
-0.21875,1.0,0.0,1.0,0.025,1
-0.23125,1.0,0.0,1.0,0.025,1
-0.24375,1.0,0.0,1.0,0.025,1
-0.25625,1.0,0.0,1.0,0.025,1
-0.26875,1.0,0.0,1.0,0.025,1
-1.0,-0.38125,-1.0,0.0,0.025,1
-0.28125,1.0,0.0,1.0,0.025,1
-0.29375,1.0,0.0,1.0,0.025,1
-0.30625,1.0,0.0,1.0,0.025,1
-0.31875,1.0,0.0,1.0,0.025,1
-0.33125,1.0,0.0,1.0,0.025,1
-1.0,-0.39375,-1.0,0.0,0.025,1
-0.34375,1.0,0.0,1.0,0.025,1
-0.35625,1.0,0.0,1.0,0.025,1
-0.36875,1.0,0.0,1.0,0.025,1
-0.38125,1.0,0.0,1.0,0.025,1
-0.39375,1.0,0.0,1.0,0.025,1
-1.0,-0.98125,-1.0,0.0,0.025,1
-0.40625,1.0,0.0,1.0,0.025,1
