x,y,nx,ny,h,bnd_ident
0.247715,-0.968813,0.24772,-0.968832,0.025,1
0.533913,0.845516,0.533923,0.845533,0.025,1
-0.874232,-0.485469,-0.874249,-0.485478,0.025,1
0.523288,0.852133,0.523299,0.852149,0.025,1
0.791748,-0.610816,0.791763,-0.610828,0.025,1
0.512582,0.858615,0.512592,0.858632,0.025,1
-0.868087,-0.496373,-0.868104,-0.496383,0.025,1
0.501796,0.864964,0.501805,0.864981,0.025,1
0.259821,-0.965636,0.259826,-0.965655,0.025,1
0.49093,0.871176,0.49094,0.871193,0.025,1
-0.861806,-0.507199,-0.861823,-0.507209,0.025,1
0.479988,0.877253,0.479998,0.87727,0.025,1
0.996673,-0.0812647,0.996692,-0.0812663,0.025,1
0.468971,0.883191,0.46898,0.883209,0.025,1
-0.855391,-0.517945,-0.855407,-0.517956,0.025,1
0.45788,0.888992,0.457889,0.889009,0.025,1
0.271887,-0.962309,0.271892,-0.962328,0.025,1
0.446718,0.894653,0.446727,0.89467,0.025,1
-0.848841,-0.528611,-0.848858,-0.528621,0.025,1
0.435485,0.900174,0.435494,0.900192,0.025,1
0.799331,-0.600859,0.799346,-0.600871,0.025,1
0.424185,0.905554,0.424193,0.905572,0.025,1
-0.842159,-0.539194,-0.842175,-0.539204,0.025,1
0.412818,0.910792,0.412826,0.91081,0.025,1
0.28391,-0.958831,0.283915,-0.958849,0.025,1
0.401386,0.915888,0.401394,0.915906,0.025,1
-0.835344,-0.549692,-0.83536,-0.549703,0.025,1
0.389891,0.92084,0.389899,0.920858,0.025,1
0.949479,-0.313768,0.949498,-0.313775,0.025,1
0.378335,0.925647,0.378343,0.925665,0.025,1
-0.828399,-0.560104,-0.828415,-0.560115,0.025,1
0.36672,0.93031,0.366728,0.930328,0.025,1
0.295888,-0.955202,0.295894,-0.955221,0.025,1
0.355048,0.934827,0.355055,0.934845,0.025,1
-0.821324,-0.570428,-0.82134,-0.570439,0.025,1
0.34332,0.939198,0.343327,0.939216,0.025,1
0.806788,-0.590807,0.806804,-0.590819,0.025,1
0.331538,0.943421,0.331545,0.94344,0.025,1
-0.81412,-0.580663,-0.814136,-0.580675,0.025,1
0.319704,0.947497,0.31971,0.947515,0.025,1
0.30782,-0.951424,0.307826,-0.951443,0.025,1
0.30782,0.951424,0.307826,0.951443,0.025,1
-0.806788,-0.590807,-0.806804,-0.590819,0.025,1
0.295888,0.955202,0.295894,0.955221,0.025,1
0.987767,-0.155813,0.987786,-0.155816,0.025,1
0.28391,0.958831,0.283915,0.958849,0.025,1
-0.799331,-0.600859,-0.799346,-0.600871,0.025,1
0.271887,0.962309,0.271892,0.962328,0.025,1
0.319704,-0.947497,0.31971,-0.947515,0.025,1
0.259821,0.965636,0.259826,0.965655,0.025,1
-0.791748,-0.610816,-0.791763,-0.610828,0.025,1
0.247715,0.968813,0.24772,0.968832,0.025,1
0.81412,-0.580663,0.814136,-0.580675,0.025,1
0.23557,0.971837,0.235575,0.971856,0.025,1
-0.784041,-0.620678,-0.784056,-0.62069,0.025,1
0.223388,0.97471,0.223392,0.974729,0.025,1
0.331538,-0.943421,0.331545,-0.94344,0.025,1
0.211171,0.977429,0.211175,0.977448,0.025,1
-0.776211,-0.630442,-0.776226,-0.630455,0.025,1
0.198921,0.979996,0.198925,0.980015,0.025,1
0.953332,-0.30186,0.95335,-0.301866,0.025,1
0.18664,0.982408,0.186644,0.982428,0.025,1
-0.76826,-0.640108,-0.768275,-0.64012,0.025,1
0.17433,0.984667,0.174333,0.984687,0.025,1
0.34332,-0.939198,0.343327,-0.939216,0.025,1
0.161992,0.986772,0.161995,0.986792,0.025,1
-0.760188,-0.649673,-0.760203,-0.649686,0.025,1
0.149629,0.988722,0.149632,0.988742,0.025,1
0.821324,-0.570428,0.82134,-0.570439,0.025,1
0.137242,0.990518,0.137245,0.990537,0.025,1
-0.751997,-0.659137,-0.752012,-0.65915,0.025,1
0.124834,0.992158,0.124837,0.992177,0.025,1
0.355048,-0.934827,0.355055,-0.934845,0.025,1
0.112406,0.993643,0.112409,0.993662,0.025,1
-0.743688,-0.668497,-0.743703,-0.66851,0.025,1
0.0999613,0.994972,0.0999632,0.994991,0.025,1
0.999804,-0.018773,0.999824,-0.0187734,0.025,1
0.0875004,0.996145,0.0875021,0.996164,0.025,1
-0.735263,-0.677753,-0.735278,-0.677766,0.025,1
0.0750258,0.997162,0.0750273,0.997181,0.025,1
0.36672,-0.93031,0.366728,-0.930328,0.025,1
0.0625395,0.998023,0.0625407,0.998042,0.025,1
-0.726723,-0.686902,-0.726737,-0.686916,0.025,1
0.0500433,0.998727,0.0500443,0.998747,0.025,1
0.828399,-0.560104,0.828415,-0.560115,0.025,1
0.0375394,0.999276,0.0375401,0.999295,0.025,1
-0.718069,-0.695944,-0.718083,-0.695958,0.025,1
0.0250295,0.999667,0.02503,0.999687,0.025,1
0.378335,-0.925647,0.378343,-0.925665,0.025,1
0.0125157,0.999902,0.012516,0.999922,0.025,1
-0.709302,-0.704877,-0.709316,-0.704891,0.025,1
6.07153e-17,0.99998,0.0,1.0,0.025,1
0.957035,-0.289905,0.957054,-0.28991,0.025,1
-0.0125157,0.999902,-0.012516,0.999922,0.025,1
-0.700424,-0.713699,-0.700438,-0.713713,0.025,1
-0.0250295,0.999667,-0.02503,0.999687,0.025,1
0.389891,-0.92084,0.389899,-0.920858,0.025,1
-0.0375394,0.999276,-0.0375401,0.999295,0.025,1
-0.691437,-0.72241,-0.69145,-0.722424,0.025,1
-0.0500433,0.998727,-0.0500443,0.998747,0.025,1
0.835344,-0.549692,0.83536,-0.549703,0.025,1
-0.0625395,0.998023,-0.0625407,0.998042,0.025,1
-0.682341,-0.731007,-0.682354,-0.731022,0.025,1
-0.0750258,0.997162,-0.0750273,0.997181,0.025,1
0.401386,-0.915888,0.401394,-0.915906,0.025,1
-0.0875004,0.996145,-0.0875021,0.996164,0.025,1
-0.673138,-0.73949,-0.673151,-0.739505,0.025,1
-0.0999613,0.994972,-0.0999632,0.994991,0.025,1
0.989639,-0.143438,0.989659,-0.143441,0.025,1
-0.112406,0.993643,-0.112409,0.993662,0.025,1
-0.66383,-0.747857,-0.663843,-0.747872,0.025,1
-0.124834,0.992158,-0.124837,0.992177,0.025,1
0.412818,-0.910792,0.412826,-0.91081,0.025,1
-0.137242,0.990518,-0.137245,0.990537,0.025,1
-0.654418,-0.756107,-0.654431,-0.756122,0.025,1
-0.149629,0.988722,-0.149632,0.988742,0.025,1
0.842159,-0.539194,0.842175,-0.539204,0.025,1
-0.161992,0.986772,-0.161995,0.986792,0.025,1
-0.644903,-0.764239,-0.644916,-0.764254,0.025,1
-0.17433,0.984667,-0.174333,0.984687,0.025,1
0.424185,-0.905554,0.424193,-0.905572,0.025,1
-0.18664,0.982408,-0.186644,0.982428,0.025,1
-0.635287,-0.77225,-0.6353,-0.772265,0.025,1
-0.198921,0.979996,-0.198925,0.980015,0.025,1
0.960589,-0.277904,0.960607,-0.277909,0.025,1
-0.211171,0.977429,-0.211175,0.977448,0.025,1
-0.625572,-0.780141,-0.625584,-0.780156,0.025,1
-0.223388,0.97471,-0.223392,0.974729,0.025,1
0.435485,-0.900174,0.435494,-0.900192,0.025,1
-0.23557,0.971837,-0.235575,0.971856,0.025,1
-0.615759,-0.78791,-0.615771,-0.787925,0.025,1
-0.247715,0.968813,-0.24772,0.968832,0.025,1
0.848841,-0.528611,0.848858,-0.528621,0.025,1
-0.259821,0.965636,-0.259826,0.965655,0.025,1
-0.605849,-0.795555,-0.605861,-0.79557,0.025,1
-0.271887,0.962309,-0.271892,0.962328,0.025,1
0.446718,-0.894653,0.446727,-0.89467,0.025,1
-0.28391,0.958831,-0.283915,0.958849,0.025,1
-0.595845,-0.803075,-0.595856,-0.803091,0.025,1
-0.295888,0.955202,-0.295894,0.955221,0.025,1
0.997612,-0.068784,0.997631,-0.0687853,0.025,1
-0.30782,0.951424,-0.307826,0.951443,0.025,1
-0.585747,-0.81047,-0.585758,-0.810486,0.025,1
-0.319704,0.947497,-0.31971,0.947515,0.025,1
0.45788,-0.888992,0.457889,-0.889009,0.025,1
-0.331538,0.943421,-0.331545,0.94344,0.025,1
-0.575557,-0.817738,-0.575568,-0.817754,0.025,1
-0.34332,0.939198,-0.343327,0.939216,0.025,1
0.855391,-0.517945,0.855407,-0.517956,0.025,1
-0.355048,0.934827,-0.355055,0.934845,0.025,1
-0.565277,-0.824877,-0.565288,-0.824893,0.025,1
-0.36672,0.93031,-0.366728,0.930328,0.025,1
0.468971,-0.883191,0.46898,-0.883209,0.025,1
-0.378335,0.925647,-0.378343,0.925665,0.025,1
-0.554909,-0.831888,-0.55492,-0.831904,0.025,1
-0.389891,0.92084,-0.389899,0.920858,0.025,1
0.963992,-0.265859,0.96401,-0.265864,0.025,1
-0.401386,0.915888,-0.401394,0.915906,0.025,1
-0.544453,-0.838768,-0.544464,-0.838784,0.025,1
-0.412818,0.910792,-0.412826,0.91081,0.025,1
0.479988,-0.877253,0.479998,-0.87727,0.025,1
-0.424185,0.905554,-0.424193,0.905572,0.025,1
-0.533913,-0.845516,-0.533923,-0.845533,0.025,1
-0.435485,0.900174,-0.435494,0.900192,0.025,1
0.861806,-0.507199,0.861823,-0.507209,0.025,1
-0.446718,0.894653,-0.446727,0.89467,0.025,1
-0.523288,-0.852133,-0.523299,-0.852149,0.025,1
-0.45788,0.888992,-0.457889,0.889009,0.025,1
0.49093,-0.871176,0.49094,-0.871193,0.025,1
-0.468971,0.883191,-0.46898,0.883209,0.025,1
-0.512582,-0.858615,-0.512592,-0.858632,0.025,1
-0.479988,0.877253,-0.479998,0.87727,0.025,1
0.991357,-0.131041,0.991377,-0.131043,0.025,1
-0.49093,0.871176,-0.49094,0.871193,0.025,1
-0.501796,-0.864964,-0.501805,-0.864981,0.025,1
-0.501796,0.864964,-0.501805,0.864981,0.025,1
0.501796,-0.864964,0.501805,-0.864981,0.025,1
-0.512582,0.858615,-0.512592,0.858632,0.025,1
-0.49093,-0.871176,-0.49094,-0.871193,0.025,1
-0.523288,0.852133,-0.523299,0.852149,0.025,1
0.868087,-0.496373,0.868104,-0.496383,0.025,1
-0.533913,0.845516,-0.533923,0.845533,0.025,1
-0.479988,-0.877253,-0.479998,-0.87727,0.025,1
-0.544453,0.838768,-0.544464,0.838784,0.025,1
0.512582,-0.858615,0.512592,-0.858632,0.025,1
-0.554909,0.831888,-0.55492,0.831904,0.025,1
-0.468971,-0.883191,-0.46898,-0.883209,0.025,1
-0.565277,0.824877,-0.565288,0.824893,0.025,1
0.967243,-0.253773,0.967262,-0.253778,0.025,1
-0.575557,0.817738,-0.575568,0.817754,0.025,1
-0.45788,-0.888992,-0.457889,-0.889009,0.025,1
-0.585747,0.81047,-0.585758,0.810486,0.025,1
0.523288,-0.852133,0.523299,-0.852149,0.025,1
-0.595845,0.803075,-0.595856,0.803091,0.025,1
-0.446718,-0.894653,-0.446727,-0.89467,0.025,1
-0.605849,0.795555,-0.605861,0.79557,0.025,1
0.874232,-0.485469,0.874249,-0.485478,0.025,1
-0.615759,0.78791,-0.615771,0.787925,0.025,1
-0.435485,-0.900174,-0.435494,-0.900192,0.025,1
-0.625572,0.780141,-0.625584,0.780156,0.025,1
0.533913,-0.845516,0.533923,-0.845533,0.025,1
-0.635287,0.77225,-0.6353,0.772265,0.025,1
-0.424185,-0.905554,-0.424193,-0.905572,0.025,1
-0.644903,0.764239,-0.644916,0.764254,0.025,1
0.999491,-0.031285,0.99951,-0.0312857,0.025,1
-0.654418,0.756107,-0.654431,0.756122,0.025,1
-0.412818,-0.910792,-0.412826,-0.91081,0.025,1
-0.66383,0.747857,-0.663843,0.747872,0.025,1
0.544453,-0.838768,0.544464,-0.838784,0.025,1
-0.673138,0.73949,-0.673151,0.739505,0.025,1
-0.401386,-0.915888,-0.401394,-0.915906,0.025,1
-0.682341,0.731007,-0.682354,0.731022,0.025,1
0.880239,-0.474489,0.880256,-0.474498,0.025,1
-0.691437,0.72241,-0.69145,0.722424,0.025,1
-0.389891,-0.92084,-0.389899,-0.920858,0.025,1
-0.700424,0.713699,-0.700438,0.713713,0.025,1
0.554909,-0.831888,0.55492,-0.831904,0.025,1
-0.709302,0.704877,-0.709316,0.704891,0.025,1
-0.378335,-0.925647,-0.378343,-0.925665,0.025,1
-0.718069,0.695944,-0.718083,0.695958,0.025,1
0.970344,-0.241647,0.970363,-0.241652,0.025,1
-0.726723,0.686902,-0.726737,0.686916,0.025,1
-0.36672,-0.93031,-0.366728,-0.930328,0.025,1
-0.735263,0.677753,-0.735278,0.677766,0.025,1
0.565277,-0.824877,0.565288,-0.824893,0.025,1
-0.743688,0.668497,-0.743703,0.66851,0.025,1
-0.355048,-0.934827,-0.355055,-0.934845,0.025,1
-0.751997,0.659137,-0.752012,0.65915,0.025,1
0.886109,-0.463435,0.886126,-0.463444,0.025,1
-0.760188,0.649673,-0.760203,0.649686,0.025,1
-0.34332,-0.939198,-0.343327,-0.939216,0.025,1
-0.76826,0.640108,-0.768275,0.64012,0.025,1
0.575557,-0.817738,0.575568,-0.817754,0.025,1
-0.776211,0.630442,-0.776226,0.630455,0.025,1
-0.331538,-0.943421,-0.331545,-0.94344,0.025,1
-0.784041,0.620678,-0.784056,0.62069,0.025,1
0.99292,-0.118623,0.992939,-0.118625,0.025,1
-0.791748,0.610816,-0.791763,0.610828,0.025,1
-0.319704,-0.947497,-0.31971,-0.947515,0.025,1
-0.799331,0.600859,-0.799346,0.600871,0.025,1
0.585747,-0.81047,0.585758,-0.810486,0.025,1
-0.806788,0.590807,-0.806804,0.590819,0.025,1
-0.30782,-0.951424,-0.307826,-0.951443,0.025,1
-0.81412,0.580663,-0.814136,0.580675,0.025,1
0.89184,-0.452308,0.891857,-0.452317,0.025,1
-0.821324,0.570428,-0.82134,0.570439,0.025,1
-0.295888,-0.955202,-0.295894,-0.955221,0.025,1
-0.828399,0.560104,-0.828415,0.560115,0.025,1
0.595845,-0.803075,0.595856,-0.803091,0.025,1
-0.835344,0.549692,-0.83536,0.549703,0.025,1
-0.28391,-0.958831,-0.283915,-0.958849,0.025,1
-0.842159,0.539194,-0.842175,0.539204,0.025,1
0.973292,-0.229484,0.973311,-0.229488,0.025,1
-0.848841,0.528611,-0.848858,0.528621,0.025,1
-0.271887,-0.962309,-0.271892,-0.962328,0.025,1
-0.855391,0.517945,-0.855407,0.517956,0.025,1
0.605849,-0.795555,0.605861,-0.79557,0.025,1
-0.861806,0.507199,-0.861823,0.507209,0.025,1
-0.259821,-0.965636,-0.259826,-0.965655,0.025,1
-0.868087,0.496373,-0.868104,0.496383,0.025,1
0.897431,-0.44111,0.897449,-0.441119,0.025,1
-0.874232,0.485469,-0.874249,0.485478,0.025,1
-0.247715,-0.968813,-0.24772,-0.968832,0.025,1
-0.880239,0.474489,-0.880256,0.474498,0.025,1
0.615759,-0.78791,0.615771,-0.787925,0.025,1
-0.886109,0.463435,-0.886126,0.463444,0.025,1
-0.23557,-0.971837,-0.235575,-0.971856,0.025,1
-0.89184,0.452308,-0.891857,0.452317,0.025,1
0.998395,-0.0562925,0.998414,-0.0562936,0.025,1
-0.897431,0.44111,-0.897449,0.441119,0.025,1
-0.223388,-0.97471,-0.223392,-0.974729,0.025,1
-0.902882,0.429844,-0.902899,0.429852,0.025,1
0.625572,-0.780141,0.625584,-0.780156,0.025,1
-0.908191,0.418509,-0.908209,0.418518,0.025,1
-0.211171,-0.977429,-0.211175,-0.977448,0.025,1
-0.913358,0.40711,-0.913376,0.407118,0.025,1
0.902882,-0.429844,0.902899,-0.429852,0.025,1
-0.918382,0.395646,-0.9184,0.395654,0.025,1
-0.198921,-0.979996,-0.198925,-0.980015,0.025,1
-0.923262,0.384121,-0.92328,0.384128,0.025,1
0.635287,-0.77225,0.6353,-0.772265,0.025,1
-0.927997,0.372535,-0.928015,0.372543,0.025,1
-0.18664,-0.982408,-0.186644,-0.982428,0.025,1
-0.932587,0.360891,-0.932605,0.360898,0.025,1
0.976088,-0.217284,0.976108,-0.217288,0.025,1
-0.937031,0.349191,-0.937049,0.349198,0.025,1
-0.17433,-0.984667,-0.174333,-0.984687,0.025,1
-0.941328,0.337436,-0.941346,0.337442,0.025,1
0.644903,-0.764239,0.644916,-0.764254,0.025,1
-0.945477,0.325628,-0.945496,0.325634,0.025,1
-0.161992,-0.986772,-0.161995,-0.986792,0.025,1
-0.949479,0.313768,-0.949498,0.313775,0.025,1
0.908191,-0.418509,0.908209,-0.418518,0.025,1
-0.953332,0.30186,-0.95335,0.301866,0.025,1
-0.149629,-0.988722,-0.149632,-0.988742,0.025,1
-0.957035,0.289905,-0.957054,0.28991,0.025,1
0.654418,-0.756107,0.654431,-0.756122,0.025,1
-0.960589,0.277904,-0.960607,0.277909,0.025,1
-0.137242,-0.990518,-0.137245,-0.990537,0.025,1
-0.963992,0.265859,-0.96401,0.265864,0.025,1
0.994327,-0.106186,0.994346,-0.106188,0.025,1
-0.967243,0.253773,-0.967262,0.253778,0.025,1
-0.124834,-0.992158,-0.124837,-0.992177,0.025,1
-0.970344,0.241647,-0.970363,0.241652,0.025,1
0.66383,-0.747857,0.663843,-0.747872,0.025,1
-0.973292,0.229484,-0.973311,0.229488,0.025,1
-0.112406,-0.993643,-0.112409,-0.993662,0.025,1
-0.976088,0.217284,-0.976108,0.217288,0.025,1
0.913358,-0.40711,0.913376,-0.407118,0.025,1
-0.978731,0.20505,-0.978751,0.205054,0.025,1
-0.0999613,-0.994972,-0.0999632,-0.994991,0.025,1
-0.981221,0.192784,-0.98124,0.192788,0.025,1
0.673138,-0.73949,0.673151,-0.739505,0.025,1
-0.983557,0.180488,-0.983576,0.180492,0.025,1
-0.0875004,-0.996145,-0.0875021,-0.996164,0.025,1
-0.985739,0.168164,-0.985758,0.168167,0.025,1
0.978731,-0.20505,0.978751,-0.205054,0.025,1
-0.987767,0.155813,-0.987786,0.155816,0.025,1
-0.0750258,-0.997162,-0.0750273,-0.997181,0.025,1
-0.989639,0.143438,-0.989659,0.143441,0.025,1
0.682341,-0.731007,0.682354,-0.731022,0.025,1
-0.991357,0.131041,-0.991377,0.131043,0.025,1
-0.0625395,-0.998023,-0.0625407,-0.998042,0.025,1
-0.99292,0.118623,-0.992939,0.118625,0.025,1
0.918382,-0.395646,0.9184,-0.395654,0.025,1
-0.994327,0.106186,-0.994346,0.106188,0.025,1
-0.0500433,-0.998727,-0.0500443,-0.998747,0.025,1
-0.995578,0.0937326,-0.995597,0.0937345,0.025,1
0.691437,-0.72241,0.69145,-0.722424,0.025,1
-0.996673,0.0812647,-0.996692,0.0812663,0.025,1
-0.0375394,-0.999276,-0.0375401,-0.999295,0.025,1
-0.997612,0.068784,-0.997631,0.0687853,0.025,1
0.999961,-0.00625799,0.99998,-0.00625811,0.025,1
-0.998395,0.0562925,-0.998414,0.0562936,0.025,1
-0.0250295,-0.999667,-0.02503,-0.999687,0.025,1
